用例编号,a,b,c,期望值
1,0,0,0,0美元
2,0,0,1,2.5美元
3,0,0,2,5美元
4,0,0,45,85美元
5,0,0,89,305美元
6,0,0,90,310美元
7,0,0,91,barrel的取值不在有效范围1~90内
8,0,1,0,3美元
9,0,1,1,5.5美元
10,0,1,2,8美元
11,0,1,45,91美元
12,0,1,89,311美元
13,0,1,90,316美元
14,0,1,91,barrel的取值不在有效范围1~90内
15,0,2,0,6美元
16,0,2,1,8.5美元
17,0,2,2,11美元
18,0,2,45,97美元
19,0,2,89,317美元
20,0,2,90,322美元
21,0,2,91,barrel的取值不在有效范围1~90内
22,0,40,0,100美元
23,0,40,1,105美元
24,0,40,2,110美元
25,0,40,45,325美元
26,0,40,89,545美元
27,0,40,90,550美元
28,0,40,91,barrel的取值不在有效范围1~90内
29,0,79,0,334美元
30,0,79,1,339美元
31,0,79,2,344美元
32,0,79,45,559美元
33,0,79,89,779美元
34,0,79,90,784美元
35,0,79,91,barrel的取值不在有效范围1~90内
36,0,80,0,340美元
37,0,80,1,345美元
38,0,80,2,350美元
39,0,80,45,565美元
40,0,80,89,785美元
41,0,80,90,790美元
42,0,80,91,barrel的取值不在有效范围1~90内
43,0,81,0,stock的取值不在有效范围1~80内
44,0,81,1,stock的取值不在有效范围1~80内
45,0,81,2,stock的取值不在有效范围1~80内
46,0,81,45,stock的取值不在有效范围1~80内
47,0,81,89,stock的取值不在有效范围1~80内
48,0,81,90,stock的取值不在有效范围1~80内
49,0,81,91,stock的取值不在有效范围1~80内
50,1,0,0,4.5美元
51,1,0,1,7美元
52,1,0,2,9.5美元
53,1,0,45,94美元
54,1,0,89,314美元
55,1,0,90,319美元
56,1,0,91,barrel的取值不在有效范围1~90内
57,1,1,0,7.5美元
58,1,1,1,10美元
59,1,1,2,12.5美元
60,1,1,45,100美元
61,1,1,89,320美元
62,1,1,90,325美元
63,1,1,91,barrel的取值不在有效范围1~90内
64,1,2,0,10.5美元
65,1,2,1,13美元
66,1,2,2,15.5美元
67,1,2,45,106美元
68,1,2,89,326美元
69,1,2,90,331美元
70,1,2,91,barrel的取值不在有效范围1~90内
71,1,40,0,109美元
72,1,40,1,114美元
73,1,40,2,119美元
74,1,40,45,334美元
75,1,40,89,554美元
76,1,40,90,559美元
77,1,40,91,barrel的取值不在有效范围1~90内
78,1,79,0,343美元
79,1,79,1,348美元
80,1,79,2,353美元
81,1,79,45,568美元
82,1,79,89,788美元
83,1,79,90,793美元
84,1,79,91,barrel的取值不在有效范围1~90内
85,1,80,0,349美元
86,1,80,1,354美元
87,1,80,2,359美元
88,1,80,45,574美元
89,1,80,89,794美元
90,1,80,90,799美元
91,1,80,91,barrel的取值不在有效范围1~90内
92,1,81,0,stock的取值不在有效范围1~80内
93,1,81,1,stock的取值不在有效范围1~80内
94,1,81,2,stock的取值不在有效范围1~80内
95,1,81,45,stock的取值不在有效范围1~80内
96,1,81,89,stock的取值不在有效范围1~80内
97,1,81,90,stock的取值不在有效范围1~80内
98,1,81,91,stock的取值不在有效范围1~80内
99,2,0,0,9美元
100,2,0,1,11.5美元
101,2,0,2,14美元
102,2,0,45,103美元
103,2,0,89,323美元
104,2,0,90,328美元
