用例编号,a,b,c,期望值
1,1,1,1,10美元
2,1,1,2,12.5美元
3,1,1,45,100美元
4,1,1,89,320美元
5,1,1,90,325美元
6,1,2,1,13美元
7,1,2,2,15.5美元
8,1,2,45,106美元
9,1,2,89,326美元
10,1,2,90,331美元
11,1,40,1,114美元
12,1,40,2,119美元
13,1,40,45,334美元
14,1,40,89,554美元
15,1,40,90,559美元
16,1,79,1,348美元
17,1,79,2,353美元
18,1,79,45,568美元
19,1,79,89,788美元
20,1,79,90,793美元
21,1,80,1,354美元
22,1,80,2,359美元
23,1,80,45,574美元
24,1,80,89,794美元
25,1,80,90,799美元
26,2,1,1,14.5美元
27,2,1,2,17美元
28,2,1,45,109美元
29,2,1,89,329美元
30,2,1,90,334美元
31,2,2,1,17.5美元
32,2,2,2,20美元
33,2,2,45,115美元
34,2,2,89,335美元
35,2,2,90,340美元
36,2,40,1,123美元
37,2,40,2,128美元
38,2,40,45,343美元
39,2,40,89,563美元
40,2,40,90,568美元
41,2,79,1,357美元
42,2,79,2,362美元
43,2,79,45,577美元
44,2,79,89,797美元
45,2,79,90,802美元
46,2,80,1,363美元
47,2,80,2,368美元
48,2,80,45,583美元
49,2,80,89,803美元
50,2,80,90,808美元
51,35,1,1,186美元
52,35,1,2,191美元
53,35,1,45,406美元
54,35,1,89,626美元
55,35,1,90,631美元
56,35,2,1,192美元
57,35,2,2,197美元
58,35,2,45,412美元
59,35,2,89,632美元
60,35,2,90,637美元
61,35,40,1,420美元
62,35,40,2,425美元
63,35,40,45,640美元
64,35,40,89,860美元
65,35,40,90,865美元
66,35,79,1,654美元
67,35,79,2,659美元
68,35,79,45,874美元
69,35,79,89,1094美元
70,35,79,90,1099美元
71,35,80,1,660美元
72,35,80,2,665美元
73,35,80,45,880美元
74,35,80,89,1100美元
75,35,80,90,1105美元
76,69,1,1,492美元
77,69,1,2,497美元
78,69,1,45,712美元
79,69,1,89,932美元
80,69,1,90,937美元
81,69,2,1,498美元
82,69,2,2,503美元
83,69,2,45,718美元
84,69,2,89,938美元
85,69,2,90,943美元
86,69,40,1,726美元
87,69,40,2,731美元
88,69,40,45,946美元
89,69,40,89,1166美元
90,69,40,90,1171美元
91,69,79,1,960美元
92,69,79,2,965美元
93,69,79,45,1180美元
94,69,79,89,1400美元
95,69,79,90,1405美元
96,69,80,1,966美元
97,69,80,2,971美元
98,69,80,45,1186美元
99,69,80,89,1406美元
100,69,80,90,1411美元
101,70,1,1,501美元
102,70,1,2,506美元
103,70,1,45,721美元
104,70,1,89,941美元
105,70,1,90,946美元
106,70,2,1,507美元
107,70,2,2,512美元
108,70,2,45,727美元
109,70,2,89,947美元
110,70,2,90,952美元
111,70,40,1,735美元
112,70,40,2,740美元
113,70,40,45,955美元
114,70,40,89,1175美元
115,70,40,90,1180美元
116,70,79,1,969美元
117,70,79,2,974美元
118,70,79,45,1189美元
119,70,79,89,1409美元
120,70,79,90,1414美元
121,70,80,1,975美元
122,70,80,2,980美元
123,70,80,45,1195美元
124,70,80,89,1415美元
125,70,80,90,1420美元
