用例编号,a,b,c,期望值
1,1900,1,1,1900 1 2
2,1900,1,2,1900年1月3日
3,1900,1,15,1900年1月16日
4,1900,1,30,1900年1月31日
5,1900,1,31,1900年2月1日
6,1900,2,1,1900年2月2日
7,1900,2,2,1900年2月3日
8,1900,2,15,1900年2月16日
9,1900,2,30,Invalid date
10,1900,2,31,Invalid date
11,1900,6,1,1900年6月2日
12,1900,6,2,1900年6月3日
13,1900,6,15,1900年6月16日
14,1900,6,30,1900年7月1日
15,1900,6,31,Invalid date
16,1900,11,1,1900年11月2日
17,1900,11,2,1900年11月3日
18,1900,11,15,1900年11月16日
19,1900,11,30,1900年12月1日
20,1900,11,31,Invalid date
21,1900,12,1,1900年12月2日
22,1900,12,2,1900年12月3日
23,1900,12,15,1900年12月16日
24,1900,12,30,1900年12月31日
25,1900,12,31,1901年1月1日
26,1901,1,1,1901年1月2日
27,1901,1,2,1901年1月3日
28,1901,1,15,1901年1月16日
29,1901,1,30,1901年1月31日
30,1901,1,31,1901年2月1日
31,1901,2,1,1901年2月2日
32,1901,2,2,1901年2月3日
33,1901,2,15,1901年2月16日
34,1901,2,30,Invalid date
35,1901,2,31,Invalid date
36,1901,6,1,1901年6月2日
37,1901,6,2,1901年6月3日
38,1901,6,15,1901年6月16日
39,1901,6,30,1901年7月1日
40,1901,6,31,Invalid date
41,1901,11,1,1901年11月2日
42,1901,11,2,1901年11月3日
43,1901,11,15,1901年11月16日
44,1901,11,30,1901年12月1日
45,1901,11,31,Invalid date
46,1901,12,1,1901年12月2日
47,1901,12,2,1901年12月3日
48,1901,12,15,1901年12月16日
49,1901,12,30,1901年12月31日
50,1901,12,31,1902年1月1日
51,1975,1,1,1975年1月2日
52,1975,1,2,1975年1月3日
53,1975,1,15,1975年1月16日
54,1975,1,30,1975年1月31日
55,1975,1,31,1975年2月1日
56,1975,2,1,1975年2月2日
57,1975,2,2,1975年2月3日
58,1975,2,15,1975年2月16日
59,1975,2,30,Invalid date
60,1975,2,31,Invalid date
61,1975,6,1,1975年6月2日
62,1975,6,2,1975年6月3日
63,1975,6,15,1975年6月16日
64,1975,6,30,1975年7月1日
65,1975,6,31,Invalid date
66,1975,11,1,1975年11月2日
67,1975,11,2,1975年11月3日
68,1975,11,15,1975年11月16日
69,1975,11,30,1975年12月1日
70,1975,11,31,Invalid date
71,1975,12,1,1975年12月2日
72,1975,12,2,1975年12月3日
73,1975,12,15,1975年12月16日
74,1975,12,30,1975年12月31日
75,1975,12,31,1976年1月1日
76,2049,1,1,2049年1月2日
77,2049,1,2,2049年1月3日
78,2049,1,15,2049年1月16日
79,2049,1,30,2049年1月31日
80,2049,1,31,2049年2月1日
81,2049,2,1,2049年2月2日
82,2049,2,2,2049年2月3日
83,2049,2,15,2049年2月16日
84,2049,2,30,Invalid date
85,2049,2,31,Invalid date
86,2049,6,1,2049年6月2日
87,2049,6,2,2049年6月3日
88,2049,6,15,2049年6月16日
89,2049,6,30,2049年7月1日
90,2049,6,31,Invalid date
91,2049,11,1,2049年11月2日
92,2049,11,2,2049年11月3日
93,2049,11,15,2049年11月16日
94,2049,11,30,2049年12月1日
95,2049,11,31,Invalid date
96,2049,12,1,2049年12月2日
97,2049,12,2,2049年12月3日
98,2049,12,15,2049年12月16日
99,2049,12,30,2049年12月31日
100,2049,12,31,2050年1月1日
101,2050,1,1,2050年1月2日
102,2050,1,2,2050年1月3日
103,2050,1,15,2050年1月16日
104,2050,1,30,2050年1月31日
105,2050,1,31,2050年2月1日
106,2050,2,1,2050年2月2日
107,2050,2,2,2050年2月3日
108,2050,2,15,2050年2月16日
109,2050,2,30,Invalid date
110,2050,2,31,Invalid date
111,2050,6,1,2050年6月2日
112,2050,6,2,2050年6月3日
113,2050,6,15,2050年6月16日
114,2050,6,30,2050年7月1日
115,2050,6,31,Invalid date
116,2050,11,1,2050年11月2日
117,2050,11,2,2050年11月3日
118,2050,11,15,2050年11月16日
119,2050,11,30,2050年12月1日
120,2050,11,31,Invalid date
121,2050,12,1,2050年12月2日
122,2050,12,2,2050年12月3日
123,2050,12,15,2050年12月16日
124,2050,12,30,2050年12月31日
125,2050,12,31,2051年1月1日
